company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes
OO,4792,04-08-2025,ORD,ROA,2025-08-04T17:57:00Z,2025-08-04T21:04:00Z,2025-08-04T18:04:00Z,2025-08-04T20:52:00Z,76,ERJ-175,Express,42,34,34
UA,920,03-08-2025,ORD,LHR,2025-08-03T18:05:00Z,2025-08-04T08:20:00Z,2025-08-03T18:27:00Z,2025-08-04T08:06:00Z,167,B767-300,Mainline,235,229,145
UA,1776,10-08-2025,ORD,PHL,2025-08-10T18:20:00Z,2025-08-10T21:35:00Z,2025-08-10T20:11:00Z,2025-08-10T23:26:00Z,166,B737-800,Mainline,76,69,51
OO,5790,06-08-2025,ORD,CRW,2025-08-06T18:20:00Z,2025-08-06T21:04:00Z,2025-08-06T20:05:00Z,2025-08-06T22:42:00Z,50,CRJ-200,Express,223,38,29
UA,1398,05-08-2025,ORD,ATL,2025-08-05T18:20:00Z,2025-08-05T21:29:00Z,2025-08-05T18:16:00Z,2025-08-05T21:49:00Z,166,B737-800,Mainline,75,72,51
OO,5470,07-08-2025,ORD,GEG,2025-08-07T08:40:00Z,2025-08-07T10:56:00Z,2025-08-07T08:36:00Z,2025-08-07T10:43:00Z,76,ERJ-175,Express,49,44,34
UA,374,15-08-2025,ORD,MSP,2025-08-15T16:10:00Z,2025-08-15T17:49:00Z,2025-08-15T16:38:00Z,2025-08-15T18:24:00Z,126,A319-100,Mainline,54,41,43
UA,1577,15-08-2025,ORD,SFO,2025-08-15T14:40:00Z,2025-08-15T17:26:00Z,2025-08-15T14:39:00Z,2025-08-15T17:11:00Z,234,B757-300,Mainline,123,134,66
UA,881,03-08-2025,ORD,HND,2025-08-03T12:50:00Z,2025-08-04T15:55:00Z,2025-08-03T13:15:00Z,2025-08-04T16:01:00Z,318,B787-10,Mainline,365,407,155
UA,2006,09-08-2025,ORD,GUA,2025-08-09T09:14:00Z,2025-08-09T12:45:00Z,2025-08-09T09:24:00Z,2025-08-09T12:57:00Z,166,B737-MAX8,Mainline,90,126,65
UA,307,14-08-2025,ORD,COS,2025-08-14T09:15:00Z,2025-08-14T11:08:00Z,2025-08-14T09:11:00Z,2025-08-14T10:44:00Z,179,B737-MAX9,Mainline,94,85,56
UA,1538,08-08-2025,ORD,SAV,2025-08-08T11:05:00Z,2025-08-08T14:34:00Z,2025-08-08T10:59:00Z,2025-08-08T14:11:00Z,126,B737-700,Mainline,100,108,43
UA,1006,02-08-2025,ORD,LGA,2025-08-02T18:00:00Z,2025-08-02T21:20:00Z,2025-08-02T19:00:00Z,2025-08-02T22:10:00Z,166,B737-800,Mainline,63,55,51
G7,4395,14-08-2025,ORD,TVC,2025-08-14T18:15:00Z,2025-08-14T20:38:00Z,2025-08-14T19:41:00Z,2025-08-14T21:46:00Z,50,CRJ-550,Express,132,124,29
UA,1538,06-08-2025,ORD,SAV,2025-08-06T11:05:00Z,2025-08-06T14:34:00Z,2025-08-06T10:57:00Z,2025-08-06T14:09:00Z,126,B737-700,Mainline,95,81,43
UA,2138,08-08-2025,ORD,LGA,2025-08-08T14:05:00Z,2025-08-08T17:27:00Z,2025-08-08T14:01:00Z,2025-08-08T17:13:00Z,166,B737-800,Mainline,62,87,51
G7,4481,15-08-2025,ORD,GRR,2025-08-15T07:00:00Z,2025-08-15T09:07:00Z,2025-08-15T06:56:00Z,2025-08-15T09:01:00Z,50,CRJ-550,Express,644,632,29
OO,5108,14-08-2025,ORD,SLN,2025-08-14T16:45:00Z,2025-08-14T18:50:00Z,2025-08-14T16:39:00Z,2025-08-14T18:33:00Z,50,CRJ-200,Express,85,82,29
YX,3568,15-08-2025,ORD,YYZ,2025-08-15T10:50:00Z,2025-08-15T13:42:00Z,2025-08-15T10:48:00Z,2025-08-15T13:40:00Z,76,ERJ-175,Express,75,64,42
OO,4739,03-08-2025,ORD,GRB,2025-08-03T15:35:00Z,2025-08-03T16:48:00Z,2025-08-03T15:34:00Z,2025-08-03T16:40:00Z,50,CRJ-200,Express,69,63,29
UA,664,02-08-2025,ORD,LGA,2025-08-02T16:00:00Z,2025-08-02T19:20:00Z,2025-08-02T16:01:00Z,2025-08-02T19:10:00Z,166,B737-800,Mainline,400,59,51
OO,5517,04-08-2025,ORD,PVD,2025-08-04T18:15:00Z,2025-08-04T21:54:00Z,2025-08-04T18:14:00Z,2025-08-04T21:40:00Z,76,ERJ-175,Express,87,86,34
UA,1156,08-08-2025,ORD,MSY,2025-08-08T19:55:00Z,2025-08-08T22:25:00Z,2025-08-08T20:14:00Z,2025-08-08T22:35:00Z,179,B737-900,Mainline,62,61,56
G7,4387,06-08-2025,ORD,CID,2025-08-06T09:20:00Z,2025-08-06T10:40:00Z,2025-08-06T09:05:00Z,2025-08-06T10:30:00Z,50,CRJ-550,Express,75,73,29
UA,1361,11-08-2025,ORD,STL,2025-08-11T21:20:00Z,2025-08-11T22:45:00Z,2025-08-11T21:40:00Z,2025-08-11T23:34:00Z,126,A319-100,Mainline,60,52,43
UA,2323,03-08-2025,ORD,MCO,2025-08-03T09:15:00Z,2025-08-03T13:10:00Z,2025-08-03T09:09:00Z,2025-08-03T12:48:00Z,200,A321-2NX,Mainline,97,99,62
OO,5229,13-08-2025,ORD,ILM,2025-08-13T11:59:00Z,2025-08-13T15:24:00Z,2025-08-13T11:54:00Z,2025-08-13T14:59:00Z,76,ERJ-175,Express,47,39,34
YX,3700,02-08-2025,ORD,BNA,2025-08-02T07:25:00Z,2025-08-02T09:13:00Z,2025-08-02T07:40:00Z,2025-08-02T09:15:00Z,76,ERJ-175,Express,5,33,34
G7,4610,15-08-2025,ORD,XNA,2025-08-15T12:41:00Z,2025-08-15T14:35:00Z,2025-08-15T12:38:00Z,2025-08-15T14:28:00Z,50,CRJ-550,Express,59,71,29
UA,1414,13-08-2025,ORD,BOI,2025-08-13T08:45:00Z,2025-08-13T11:43:00Z,2025-08-13T08:40:00Z,2025-08-13T11:09:00Z,150,A320-200,Mainline,59,78,46
UA,1156,13-08-2025,ORD,MSY,2025-08-13T19:55:00Z,2025-08-13T22:25:00Z,2025-08-13T19:56:00Z,2025-08-13T22:17:00Z,179,B737-MAX9,Mainline,73,62,56
UA,247,13-08-2025,ORD,OMA,2025-08-13T12:45:00Z,2025-08-13T14:22:00Z,2025-08-13T12:38:00Z,2025-08-13T14:07:00Z,150,A320-200,Mainline,69,86,46
UA,2378,08-08-2025,ORD,LAX,2025-08-08T21:42:00Z,2025-08-09T00:15:00Z,2025-08-08T21:50:00Z,2025-08-08T23:59:00Z,200,A321-2NX,Mainline,77,94,62
OO,5930,14-08-2025,ORD,FAR,2025-08-14T13:20:00Z,2025-08-14T15:29:00Z,2025-08-14T15:00:00Z,2025-08-14T16:49:00Z,50,CRJ-200,Express,205,91,29
